time,imnum,imcode,path,corrAns,axis,button_left,button_right,viewPoint
1.0,8.0,I,carchair_exp/tableBench_41_24.png,41,tableBench,Table,Bench,24
3.5,4.0,E,carchair_exp/bedChair_80_39.png,80,bedChair,Bed,Chair,39
6.0,8.0,I,carchair_exp/tableBench_41_33.png,41,tableBench,Table,Bench,33
8.5,10.0,K,carchair_exp/tableBench_80_33.png,80,tableBench,Table,Bench,33
11.0,7.0,H,carchair_exp/tableBench_21_24.png,21,tableBench,Table,Bench,24
13.5,6.0,G,carchair_exp/tableBench_1_21.png,1,tableBench,Table,Bench,21
16.0,1.0,B,carchair_exp/bedChair_21_6.png,21,bedChair,Bed,Chair,6
18.5,3.0,D,carchair_exp/bedChair_60_18.png,60,bedChair,Bed,Chair,18
21.0,9.0,J,carchair_exp/tableBench_60_12.png,60,tableBench,Table,Bench,12
23.5,7.0,H,carchair_exp/tableBench_21_6.png,21,tableBench,Table,Bench,6
26.0,2.0,C,carchair_exp/bedChair_41_15.png,41,bedChair,Bed,Chair,15
28.5,11.0,L,carchair_exp/tableBench_100_15.png,100,tableBench,Table,Bench,15
31.0,10.0,K,carchair_exp/tableBench_80_15.png,80,tableBench,Table,Bench,15
33.5,0.0,A,carchair_exp/bedChair_1_9.png,1,bedChair,Bed,Chair,9
36.0,6.0,G,carchair_exp/tableBench_1_36.png,1,tableBench,Table,Bench,36
38.5,1.0,B,carchair_exp/bedChair_21_36.png,21,bedChair,Bed,Chair,36
41.0,5.0,F,carchair_exp/bedChair_100_15.png,100,bedChair,Bed,Chair,15
43.5,9.0,J,carchair_exp/tableBench_60_27.png,60,tableBench,Table,Bench,27
46.0,2.0,C,carchair_exp/bedChair_41_27.png,41,bedChair,Bed,Chair,27
48.5,0.0,A,carchair_exp/bedChair_1_6.png,1,bedChair,Bed,Chair,6
51.0,1.0,B,carchair_exp/bedChair_21_21.png,21,bedChair,Bed,Chair,21
53.5,4.0,E,carchair_exp/bedChair_80_15.png,80,bedChair,Bed,Chair,15
56.0,5.0,F,carchair_exp/bedChair_100_18.png,100,bedChair,Bed,Chair,18
58.5,3.0,D,carchair_exp/bedChair_60_33.png,60,bedChair,Bed,Chair,33
61.0,0.0,A,carchair_exp/bedChair_1_39.png,1,bedChair,Bed,Chair,39
63.5,11.0,L,carchair_exp/tableBench_100_3.png,100,tableBench,Table,Bench,3
66.0,10.0,K,carchair_exp/tableBench_80_6.png,80,tableBench,Table,Bench,6
68.5,4.0,E,carchair_exp/bedChair_80_3.png,80,bedChair,Bed,Chair,3
71.0,6.0,G,carchair_exp/tableBench_1_33.png,1,tableBench,Table,Bench,33
73.5,8.0,I,carchair_exp/tableBench_41_36.png,41,tableBench,Table,Bench,36
76.0,3.0,D,carchair_exp/bedChair_60_9.png,60,bedChair,Bed,Chair,9
78.5,11.0,L,carchair_exp/tableBench_100_27.png,100,tableBench,Table,Bench,27
81.0,2.0,C,carchair_exp/bedChair_41_18.png,41,bedChair,Bed,Chair,18
83.5,9.0,J,carchair_exp/tableBench_60_33.png,60,tableBench,Table,Bench,33
86.0,7.0,H,carchair_exp/tableBench_21_9.png,21,tableBench,Table,Bench,9
88.5,5.0,F,carchair_exp/bedChair_100_36.png,100,bedChair,Bed,Chair,36
91.0,1.0,B,carchair_exp/bedChair_21_24.png,21,bedChair,Bed,Chair,24
93.5,7.0,H,carchair_exp/tableBench_21_15.png,21,tableBench,Table,Bench,15
96.0,0.0,A,carchair_exp/bedChair_1_33.png,1,bedChair,Bed,Chair,33
98.5,10.0,K,carchair_exp/tableBench_80_21.png,80,tableBench,Table,Bench,21
101.0,2.0,C,carchair_exp/bedChair_41_24.png,41,bedChair,Bed,Chair,24
103.5,7.0,H,carchair_exp/tableBench_21_36.png,21,tableBench,Table,Bench,36
106.0,6.0,G,carchair_exp/tableBench_1_18.png,1,tableBench,Table,Bench,18
108.5,4.0,E,carchair_exp/bedChair_80_21.png,80,bedChair,Bed,Chair,21
111.0,1.0,B,carchair_exp/bedChair_21_15.png,21,bedChair,Bed,Chair,15
113.5,9.0,J,carchair_exp/tableBench_60_18.png,60,tableBench,Table,Bench,18
116.0,7.0,H,carchair_exp/tableBench_21_33.png,21,tableBench,Table,Bench,33
118.5,6.0,G,carchair_exp/tableBench_1_6.png,1,tableBench,Table,Bench,6
121.0,9.0,J,carchair_exp/tableBench_60_24.png,60,tableBench,Table,Bench,24
123.5,3.0,D,carchair_exp/bedChair_60_36.png,60,bedChair,Bed,Chair,36
126.0,0.0,A,carchair_exp/bedChair_1_27.png,1,bedChair,Bed,Chair,27
128.5,8.0,I,carchair_exp/tableBench_41_12.png,41,tableBench,Table,Bench,12
131.0,2.0,C,carchair_exp/bedChair_41_12.png,41,bedChair,Bed,Chair,12
133.5,11.0,L,carchair_exp/tableBench_100_36.png,100,tableBench,Table,Bench,36
136.0,5.0,F,carchair_exp/bedChair_100_21.png,100,bedChair,Bed,Chair,21
138.5,4.0,E,carchair_exp/bedChair_80_30.png,80,bedChair,Bed,Chair,30
141.0,9.0,J,carchair_exp/tableBench_60_30.png,60,tableBench,Table,Bench,30
143.5,10.0,K,carchair_exp/tableBench_80_24.png,80,tableBench,Table,Bench,24
146.0,1.0,B,carchair_exp/bedChair_21_39.png,21,bedChair,Bed,Chair,39
148.5,6.0,G,carchair_exp/tableBench_1_24.png,1,tableBench,Table,Bench,24
151.0,2.0,C,carchair_exp/bedChair_41_33.png,41,bedChair,Bed,Chair,33
153.5,4.0,E,carchair_exp/bedChair_80_24.png,80,bedChair,Bed,Chair,24
156.0,11.0,L,carchair_exp/tableBench_100_6.png,100,tableBench,Table,Bench,6
158.5,5.0,F,carchair_exp/bedChair_100_6.png,100,bedChair,Bed,Chair,6
161.0,8.0,I,carchair_exp/tableBench_41_3.png,41,tableBench,Table,Bench,3
163.5,0.0,A,carchair_exp/bedChair_1_30.png,1,bedChair,Bed,Chair,30
166.0,5.0,F,carchair_exp/bedChair_100_24.png,100,bedChair,Bed,Chair,24
168.5,8.0,I,carchair_exp/tableBench_41_30.png,41,tableBench,Table,Bench,30
171.0,3.0,D,carchair_exp/bedChair_60_12.png,60,bedChair,Bed,Chair,12
173.5,10.0,K,carchair_exp/tableBench_80_27.png,80,tableBench,Table,Bench,27
176.0,11.0,L,carchair_exp/tableBench_100_24.png,100,tableBench,Table,Bench,24
178.5,3.0,D,carchair_exp/bedChair_60_39.png,60,bedChair,Bed,Chair,39
181.0,2.0,C,carchair_exp/bedChair_41_36.png,41,bedChair,Bed,Chair,36
183.5,3.0,D,carchair_exp/bedChair_60_6.png,60,bedChair,Bed,Chair,6
186.0,11.0,L,carchair_exp/tableBench_100_21.png,100,tableBench,Table,Bench,21
188.5,9.0,J,carchair_exp/tableBench_60_3.png,60,tableBench,Table,Bench,3
191.0,10.0,K,carchair_exp/tableBench_80_18.png,80,tableBench,Table,Bench,18
193.5,2.0,C,carchair_exp/bedChair_41_21.png,41,bedChair,Bed,Chair,21
196.0,6.0,G,carchair_exp/tableBench_1_30.png,1,tableBench,Table,Bench,30
198.5,10.0,K,carchair_exp/tableBench_80_3.png,80,tableBench,Table,Bench,3
201.0,0.0,A,carchair_exp/bedChair_1_3.png,1,bedChair,Bed,Chair,3
203.5,8.0,I,carchair_exp/tableBench_41_27.png,41,tableBench,Table,Bench,27
206.0,2.0,C,carchair_exp/bedChair_41_6.png,41,bedChair,Bed,Chair,6
208.5,11.0,L,carchair_exp/tableBench_100_39.png,100,tableBench,Table,Bench,39
211.0,3.0,D,carchair_exp/bedChair_60_30.png,60,bedChair,Bed,Chair,30
213.5,5.0,F,carchair_exp/bedChair_100_3.png,100,bedChair,Bed,Chair,3
216.0,11.0,L,carchair_exp/tableBench_100_12.png,100,tableBench,Table,Bench,12
218.5,9.0,J,carchair_exp/tableBench_60_6.png,60,tableBench,Table,Bench,6
