,Sub,Run,TR,Onset,Item,Change,CorrResp,Resp,RT,Acc,image_on,button_on,button_off
0,pilot001,1,0,0.0,,0,,,,,,,
1,pilot001,1,1,1.5,,0,,,,,,,
2,pilot001,1,2,3.0,,0,,,,,,,
3,pilot001,1,3,4.5,,0,,,,,,,
4,pilot001,1,4,6.0,C,0.0,,1,0.7666910630068742,,8.015298861981137,9.031977756996639,9.931981519999681
5,pilot001,1,5,7.5,,0,,,,,,,
6,pilot001,1,6,9.0,A,0.0,,1,0.6668744150083512,,12.015357387979748,13.032041266997112,13.93220172598376
7,pilot001,1,7,10.5,,0,,,,,,,
8,pilot001,1,8,12.0,C,0.0,,1,0.7331726609845646,,16.015563294000458,17.032059199991636,17.932065913977567
9,pilot001,1,9,13.5,,0,,,,,,,
10,pilot001,1,10,15.0,B,0.0,,2,0.516675958991982,,20.01542384599452,21.032088788982946,21.932100230973447
11,pilot001,1,11,16.5,,0,,,,,,,
12,pilot001,1,12,18.0,,0,,,,,,,
13,pilot001,1,13,19.5,A,0.0,,1,0.5000148609979078,,26.01546895399224,27.032148619997315,27.932156542985467
14,pilot001,1,14,21.0,,0,,,,,,,
15,pilot001,1,15,22.5,,0,,,,,,,
16,pilot001,1,16,24.0,,0,,,,,,,
17,pilot001,1,17,25.5,D,0.0,,2,0.4666881119774189,,34.01553533799597,35.03221602999838,35.93222299599438
18,pilot001,1,18,27.0,,0,,,,,,,
19,pilot001,1,19,28.5,,0,,,,,,,
20,pilot001,1,20,30.0,B,0.0,,2,0.4833494269987568,,40.01558808199479,41.03226427297341,41.93227394798305
21,pilot001,1,21,31.5,,0,,,,,,,
22,pilot001,1,22,33.0,D,0.0,,2,0.6666890919732396,,44.01562489999924,45.03229731798638,45.93230803098413
23,pilot001,1,23,34.5,,0,,,,,,,
24,pilot001,1,24,36.0,B,0.0,,2,0.5166866170184221,,48.01565779797966,49.03234199297731,49.932344592991285
25,pilot001,1,25,37.5,,0,,,,,,,
26,pilot001,1,26,39.0,A,0.0,,1,0.5333400290110148,,52.015698874980444,53.03236682098941,53.93238154097344
27,pilot001,1,27,40.5,,0,,,,,,,
28,pilot001,1,28,42.0,,0,,,,,,,
29,pilot001,1,29,43.5,D,0.0,,2,0.4833504609996453,,58.01574603098561,59.065760089986725,59.965941422997275
