,runId,trId,value,timestamp
0,1.0,,,1603124979.814882
1,1.0,1.0,0.0,1603124980.298653
2,1.0,2.0,0.0,1603124980.906222
3,1.0,3.0,5.0,1603124981.5613592
4,1.0,4.0,5.0,1603124982.093558
5,1.0,5.0,0.0,1603124982.693776
6,1.0,6.0,5.0,1603124983.300962
7,1.0,7.0,0.0,1603124983.996075
8,1.0,8.0,0.0,1603124984.5940428
9,1.0,9.0,0.0,1603124985.2478871
10,1.0,10.0,0.0,1603124985.795666
11,1.0,11.0,0.0,1603124986.3946729
12,1.0,12.0,5.0,1603124986.9942021
13,1.0,13.0,0.0,1603124987.596674
14,1.0,14.0,5.0,1603124988.217139
15,1.0,15.0,5.0,1603124988.796962
16,1.0,16.0,0.0,1603124989.394043
17,1.0,17.0,0.0,1603124989.993647
18,1.0,18.0,0.0,1603124990.603414
19,1.0,19.0,5.0,1603124991.193482
20,1.0,20.0,5.0,1603124991.801837
21,1.0,21.0,0.0,1603124992.416003
22,1.0,22.0,0.0,1603124993.134478
23,1.0,23.0,0.0,1603124993.762325
24,1.0,24.0,0.0,1603124994.3947031
25,1.0,25.0,0.0,1603124994.9972732
26,1.0,26.0,0.0,1603124995.5936818
27,1.0,27.0,0.0,1603124996.205013
28,1.0,28.0,5.0,1603124996.82018
29,1.0,29.0,5.0,1603124997.431614
30,1.0,30.0,0.0,1603124998.095205
31,1.0,31.0,0.0,1603124998.7650712
32,1.0,32.0,5.0,1603124999.332222
33,1.0,33.0,0.0,1603125000.008631
34,1.0,34.0,5.0,1603125000.708551
35,1.0,35.0,5.0,1603125001.383819
36,1.0,36.0,0.0,1603125001.993192
37,1.0,37.0,5.0,1603125002.6113129
38,1.0,38.0,0.0,1603125003.373224
39,1.0,39.0,5.0,1603125003.917086
40,1.0,40.0,5.0,1603125004.515831
41,1.0,41.0,5.0,1603125005.216668
42,1.0,42.0,0.0,1603125005.828676
43,1.0,43.0,5.0,1603125006.394615
44,1.0,44.0,0.0,1603125007.09297
45,1.0,45.0,0.0,1603125007.792097
46,1.0,46.0,5.0,1603125008.393593
47,1.0,47.0,0.0,1603125009.016983
48,1.0,48.0,0.0,1603125009.694113
49,1.0,49.0,0.0,1603125010.338521
50,1.0,50.0,0.0,1603125010.949245
51,1.0,51.0,0.0,1603125011.493224
52,1.0,52.0,5.0,1603125012.093215
53,1.0,53.0,0.0,1603125012.706809
54,1.0,54.0,0.0,1603125013.309763
55,1.0,55.0,0.0,1603125013.921258
56,1.0,56.0,0.0,1603125014.536486
57,1.0,57.0,0.0,1603125015.049661
58,1.0,58.0,0.0,1603125015.693755
59,1.0,59.0,0.0,1603125016.376418
60,1.0,60.0,0.0,1603125016.998156
61,1.0,61.0,0.0,1603125017.6239061
62,1.0,62.0,0.0,1603125018.2941492
63,1.0,63.0,5.0,1603125018.894579
64,1.0,64.0,0.0,1603125019.495646
65,1.0,65.0,5.0,1603125020.165708
66,1.0,66.0,5.0,1603125020.7943602
67,1.0,67.0,0.0,1603125021.400556
68,1.0,68.0,0.0,1603125021.993365
69,1.0,69.0,5.0,1603125022.6267688
70,1.0,70.0,5.0,1603125023.243074
71,1.0,71.0,0.0,1603125023.848887
72,1.0,72.0,0.0,1603125024.464594
73,1.0,73.0,5.0,1603125025.0789492
74,1.0,74.0,0.0,1603125025.693544
75,1.0,75.0,5.0,1603125026.2935529
76,1.0,76.0,5.0,1603125026.892135
77,1.0,77.0,0.0,1603125027.540778
78,1.0,78.0,5.0,1603125028.093894
79,1.0,79.0,5.0,1603125028.698304
80,1.0,80.0,0.0,1603125029.298753
81,1.0,81.0,0.0,1603125029.904702
82,1.0,82.0,0.0,1603125030.497212
83,1.0,83.0,0.0,1603125031.0928588
84,1.0,84.0,0.0,1603125031.741222
85,1.0,85.0,5.0,1603125032.420618
86,1.0,86.0,0.0,1603125033.094184
87,1.0,87.0,5.0,1603125033.784941
88,1.0,88.0,0.0,1603125034.392
89,1.0,89.0,5.0,1603125034.994532
90,1.0,90.0,0.0,1603125035.620186
91,1.0,91.0,0.0,1603125036.293668
92,1.0,92.0,0.0,1603125036.91077
93,1.0,93.0,5.0,1603125037.576638
94,1.0,94.0,0.0,1603125038.193588
95,1.0,95.0,0.0,1603125038.803396
96,1.0,96.0,5.0,1603125039.3926232
97,1.0,97.0,0.0,1603125040.0343318
98,1.0,98.0,0.0,1603125040.607831
99,1.0,99.0,5.0,1603125041.291522
100,1.0,100.0,0.0,1603125041.993082
101,1.0,101.0,5.0,1603125042.699121
102,1.0,102.0,0.0,1603125043.309997
103,1.0,103.0,0.0,1603125043.893572
104,1.0,104.0,5.0,1603125044.535514
105,1.0,105.0,5.0,1603125045.195634
106,1.0,106.0,5.0,1603125045.793173
107,1.0,107.0,0.0,1603125046.482103
108,1.0,108.0,0.0,1603125047.101923
109,1.0,109.0,0.0,1603125047.71872
110,1.0,110.0,0.0,1603125048.427598
111,1.0,111.0,0.0,1603125049.0943732
112,1.0,112.0,5.0,1603125049.694339
113,1.0,113.0,5.0,1603125050.402213
114,1.0,114.0,0.0,1603125050.995466
115,1.0,115.0,0.0,1603125051.5948648
116,1.0,116.0,5.0,1603125052.217424
117,1.0,117.0,0.0,1603125052.934564
118,1.0,118.0,0.0,1603125053.596152
119,1.0,119.0,0.0,1603125054.192927
120,1.0,120.0,5.0,1603125054.823679
121,1.0,121.0,0.0,1603125055.501374
122,1.0,122.0,0.0,1603125056.096554
123,1.0,123.0,0.0,1603125056.72443
124,1.0,124.0,0.0,1603125057.33702
125,1.0,125.0,0.0,1603125058.055587
126,1.0,126.0,0.0,1603125058.6939971
127,1.0,127.0,0.0,1603125059.297602
128,1.0,128.0,0.0,1603125059.8925061
129,1.0,129.0,0.0,1603125060.497498
130,1.0,130.0,0.0,1603125061.1260421
131,1.0,131.0,0.0,1603125061.736711
132,1.0,132.0,0.0,1603125062.3595362
133,1.0,133.0,5.0,1603125062.893038
134,1.0,134.0,0.0,1603125063.492563
135,1.0,135.0,0.0,1603125064.0994189
136,1.0,136.0,0.0,1603125064.6928158
137,1.0,137.0,5.0,1603125065.456429
138,1.0,138.0,0.0,1603125065.935885
139,1.0,139.0,5.0,1603125066.5109818
140,1.0,140.0,0.0,1603125067.192266
141,1.0,141.0,0.0,1603125067.8835258
142,1.0,142.0,0.0,1603125068.500201
143,1.0,143.0,0.0,1603125069.11098
144,1.0,144.0,0.0,1603125069.708853
145,1.0,145.0,0.0,1603125070.292724
146,1.0,146.0,0.0,1603125070.892311
147,1.0,147.0,0.0,1603125071.4930391
148,1.0,148.0,0.0,1603125072.0957959
149,1.0,149.0,0.0,1603125072.693803
150,1.0,150.0,0.0,1603125073.3099022
151,1.0,,,1603127191.366124
152,2.0,1.0,1.0,1603127191.795456
153,2.0,2.0,1.0,1603127192.412417
154,2.0,3.0,1.0,1603127193.196259
155,2.0,4.0,1.0,1603127193.897225
156,2.0,5.0,1.0,1603127194.595254
157,2.0,6.0,1.0,1603127195.2983522
158,2.0,7.0,1.0,1603127195.996479
159,2.0,8.0,1.0,1603127196.699523
160,2.0,9.0,1.0,1603127197.396704
161,2.0,10.0,1.0,1603127198.096421
162,2.0,11.0,1.0,1603127198.696173
163,2.0,12.0,1.0,1603127199.2963
164,2.0,13.0,1.0,1603127199.896217
165,2.0,14.0,1.0,1603127200.507777
166,2.0,15.0,1.0,1603127201.097301
167,2.0,16.0,1.0,1603127201.796675
168,2.0,17.0,1.0,1603127202.396912
169,2.0,18.0,1.0,1603127203.095409
170,2.0,19.0,1.0,1603127203.759663
171,2.0,20.0,1.0,1603127204.406063
172,1.0,,,1603127479.260715
173,2.0,1.0,1.0,1603127479.792066
174,2.0,2.0,1.0,1603127480.4446368
175,2.0,3.0,1.0,1603127480.993074
176,2.0,4.0,1.0,1603127481.674981
177,2.0,5.0,1.0,1603127482.292827
178,2.0,6.0,1.0,1603127482.905219
179,2.0,7.0,1.0,1603127483.6192288
180,2.0,8.0,1.0,1603127484.230051
181,2.0,9.0,1.0,1603127484.846027
182,2.0,10.0,1.0,1603127485.4653928
183,2.0,11.0,1.0,1603127485.993991
184,2.0,12.0,1.0,1603127486.592937
185,2.0,13.0,1.0,1603127487.203348
186,2.0,14.0,1.0,1603127487.820694
187,2.0,15.0,1.0,1603127488.3934379
188,2.0,16.0,1.0,1603127488.992694
189,2.0,17.0,1.0,1603127489.593843
190,2.0,18.0,1.0,1603127490.1927948
191,2.0,19.0,1.0,1603127490.894552
192,2.0,20.0,1.0,1603127491.6116722
193,1.0,,,1603127522.521307
194,2.0,1.0,1.0,1603127523.045983
195,2.0,2.0,1.0,1603127523.657959
196,2.0,3.0,1.0,1603127524.292075
197,2.0,4.0,1.0,1603127524.8932369
198,2.0,5.0,1.0,1603127525.610244
199,2.0,6.0,1.0,1603127526.199418
200,2.0,7.0,1.0,1603127526.831729
201,2.0,8.0,1.0,1603127527.548189
202,2.0,9.0,1.0,1603127528.166132
203,2.0,10.0,1.0,1603127528.794998
204,2.0,11.0,1.0,1603127529.393099
205,2.0,12.0,1.0,1603127530.013819
206,2.0,13.0,1.0,1603127530.723935
207,2.0,14.0,1.0,1603127531.309136
208,2.0,15.0,1.0,1603127531.9934819
