,Sub,Run,TR,Onset,Item,Change,CorrResp,Resp,RT,Acc,image_on,button_on,button_off
0,pilot_sub002,1,0,0,,0,,,,,,,
1,pilot_sub002,1,1,2,,0,,,,,,,
2,pilot_sub002,1,2,4,,0,,,,,,,
3,pilot_sub002,1,3,6,B,0.0,,2,0.6500204189942451,,6.000481789000332,7.017164887001854,7.917154134993325
4,pilot_sub002,1,4,8,,0,,,,,,,
5,pilot_sub002,1,5,10,,0,,,,,,,
6,pilot_sub002,1,6,12,A,0.0,,1,0.43334930499258917,,12.000527506999788,13.01720935299818,13.91720647799957
7,pilot_sub002,1,7,14,,0,,,,,,,
8,pilot_sub002,1,8,16,,0,,,,,,,
9,pilot_sub002,1,9,18,C,0.0,,1,0.599836941997637,,18.000751262996346,19.01723616599338,19.917240238995873
10,pilot_sub002,1,10,20,,0,,,,,,,
11,pilot_sub002,1,11,22,,0,,,,,,,
12,pilot_sub002,1,12,24,,0,,,,,,,
13,pilot_sub002,1,13,26,D,0.0,,2,0.43334251700434834,,26.000614020987996,27.017285376001382,27.917297861000407
14,pilot_sub002,1,14,28,,0,,,,,,,
15,pilot_sub002,1,15,30,,0,,,,,,,
16,pilot_sub002,1,16,32,C,0.0,,1,0.43333125399658456,,32.00065324199386,33.01732727199851,33.91733115399256
17,pilot_sub002,1,17,34,,0,,,,,,,
18,pilot_sub002,1,18,36,,0,,,,,,,
19,pilot_sub002,1,19,38,D,0.0,,2,0.4833338150056079,,38.000696641989634,39.017358963988954,39.91735739300202
20,pilot_sub002,1,20,40,,0,,,,,,,
21,pilot_sub002,1,21,42,,0,,,,,,,
22,pilot_sub002,1,22,44,B,0.0,,2,0.38334308899356984,,44.000726352998754,45.017383122001775,45.91739828498976
23,pilot_sub002,1,23,46,,0,,,,,,,
24,pilot_sub002,1,24,48,A,0.0,,1,0.33334020400070585,,48.00075238398858,49.01741638399835,49.91742085300211
25,pilot_sub002,1,25,50,,0,,,,,,,
26,pilot_sub002,1,26,52,,0,,,,,,,
27,pilot_sub002,1,27,54,C,0.0,,1,0.3333488359930925,,54.0007822339976,55.01745260298776,55.91746310899907
28,pilot_sub002,1,28,56,,0,,,,,,,
29,pilot_sub002,1,29,58,D,0.0,,1,0.5166719150001882,,58.00081250499352,59.017477141998825,59.9174903039966
30,pilot_sub002,1,30,60,,0,,,,,,,
31,pilot_sub002,1,31,62,,0,,,,,,,
32,pilot_sub002,1,32,64,A,0.0,,1,0.4164984239905607,,64.00102240699925,65.01750113000162,65.91750567599956
33,pilot_sub002,1,33,66,,0,,,,,,,
34,pilot_sub002,1,34,68,,0,,,,,,,
35,pilot_sub002,1,35,70,B,0.0,,2,0.3000772959931055,,70.00087502799579,71.01753935898887,71.91754670499358
36,pilot_sub002,1,36,72,,0,,,,,,,
37,pilot_sub002,1,37,74,,0,,,,,,,
38,pilot_sub002,1,38,76,A,0.0,,1,0.30007339399890043,,76.00090986599389,77.01757983599964,77.91760163698927
39,pilot_sub002,1,39,78,,0,,,,,,,
40,pilot_sub002,1,40,80,,0,,,,,,,
41,pilot_sub002,1,41,82,,0,,,,,,,
42,pilot_sub002,1,42,84,C,0.0,,1,0.36666841999976896,,84.00097416099743,85.01764490199275,85.91764417100057
43,pilot_sub002,1,43,86,,0,,,,,,,
44,pilot_sub002,1,44,88,,0,,,,,,,
45,pilot_sub002,1,45,90,D,0.0,,2,0.8499981380009558,,90.0010102239903,91.0176788129902,91.91767411099863
46,pilot_sub002,1,46,92,,0,,,,,,,
47,pilot_sub002,1,47,94,,0,,,,,,,
48,pilot_sub002,1,48,96,C,0.0,,1,0.3833384909958113,,96.0010433110001,97.0177220839978,97.91772820599726
49,pilot_sub002,1,49,98,,0,,,,,,,
50,pilot_sub002,1,50,100,,0,,,,,,,
51,pilot_sub002,1,51,102,,0,,,,,,,
52,pilot_sub002,1,52,104,B,0.0,,2,0.31668057999922894,,104.00110162599594,105.01776899999822,105.9177823439968
53,pilot_sub002,1,53,106,,0,,,,,,,
54,pilot_sub002,1,54,108,,0,,,,,,,
55,pilot_sub002,1,55,110,C,0.0,,1,0.36651362899283413,,110.0013215229992,111.01781902599032,111.91782917799719
56,pilot_sub002,1,56,112,,0,,,,,,,
57,pilot_sub002,1,57,114,B,0.0,,2,0.300080008993973,,114.00118251399545,115.01785911999468,115.91785532300128
58,pilot_sub002,1,58,116,,0,,,,,,,
59,pilot_sub002,1,59,118,,0,,,,,,,
60,pilot_sub002,1,60,120,D,0.0,,2,0.3333408089965815,,120.00122431199998,121.0178860379965,121.91790627899172
61,pilot_sub002,1,61,122,,0,,,,,,,
62,pilot_sub002,1,62,124,B,0.0,,1,0.5333495800005039,,124.00124752998818,125.01791310300177,125.91792011698999
63,pilot_sub002,1,63,126,,0,,2,1.0833493440004531,,,,
64,pilot_sub002,1,64,128,,0,,,,,,,
65,pilot_sub002,1,65,130,,0,,,,,,,
66,pilot_sub002,1,66,132,A,0.0,,1,0.2666865220089676,,132.00129464198835,133.01797287199588,133.91797248298826
67,pilot_sub002,1,67,134,,0,,,,,,,
68,pilot_sub002,1,68,136,,0,,,,,,,
69,pilot_sub002,1,69,138,D,0.0,,2,0.4166766650014324,,138.00134771000012,139.0180168549996,139.91801229400153
70,pilot_sub002,1,70,140,,0,,,,,,,
71,pilot_sub002,1,71,142,A,0.0,,1,0.3500293600081932,,142.00136825199297,143.01804032998916,143.91804894199595
72,pilot_sub002,1,72,144,,0,,,,,,,
73,pilot_sub002,1,73,146,,0,,,,,,,
74,pilot_sub002,1,74,148,,0,,,,,,,
75,pilot_sub002,1,75,150,C,0.0,,1,0.3333439650014043,,150.00142861600034,151.0180992789974,151.9181093799998
76,pilot_sub002,1,76,152,,0,,,,,,,
77,pilot_sub002,1,77,154,D,0.0,,2,0.3166866539977491,,154.0014535819937,155.01812765699287,155.91813017798995
78,pilot_sub002,1,78,156,,0,,,,,,,
79,pilot_sub002,1,79,158,,0,,,,,,,
80,pilot_sub002,1,80,160,,0,,,,,,,
81,pilot_sub002,1,81,162,B,0.0,,2,0.2998875909979688,,162.00170911599707,163.01818002699292,163.9181872629997
82,pilot_sub002,1,82,164,,0,,,,,,,
83,pilot_sub002,1,83,166,C,0.0,,1,0.4333447969984263,,166.00153939599113,167.01822393799375,167.9182318129897
84,pilot_sub002,1,84,168,,0,,,,,,,
85,pilot_sub002,1,85,170,,0,,,,,,,
86,pilot_sub002,1,86,172,A,0.0,,1,0.24999679099710193,,172.00159390599583,173.01826227200218,173.91826131098787
87,pilot_sub002,1,87,174,,0,,,,,,,
88,pilot_sub002,1,88,176,,0,,,,,,,
89,pilot_sub002,1,89,178,,0,,,,,,,
90,pilot_sub002,1,90,180,C,0.0,,1,0.31667008200020064,,180.00164818899066,181.01832002899027,181.91831231699325
91,pilot_sub002,1,91,182,,0,,,,,,,
92,pilot_sub002,1,92,184,,0,,,,,,,
93,pilot_sub002,1,93,186,A,0.0,,1,0.31667800800642,,186.00168493798992,187.01835600599588,187.91836518199125
94,pilot_sub002,1,94,188,,0,,,,,,,
95,pilot_sub002,1,95,190,D,0.0,,2,0.333177558000898,,190.00187746499432,191.01837662899925,191.9183830319962
96,pilot_sub002,1,96,192,,0,,,,,,,
97,pilot_sub002,1,97,194,,0,,,,,,,
98,pilot_sub002,1,98,196,B,0.0,,2,0.2834216150076827,,196.00175832599052,197.01842683699215,197.91841996299627
99,pilot_sub002,1,99,198,,0,,,,,,,
100,pilot_sub002,1,100,200,,0,,,,,,,
101,pilot_sub002,1,101,202,A,0.0,,1,0.36667954199947417,,202.00179852699512,203.01846448799188,203.91846746399824
102,pilot_sub002,1,102,204,,0,,,,,,,
103,pilot_sub002,1,103,206,D,0.0,,2,0.483349411006202,,206.00182065898844,207.01869774299848,207.9185141199996
104,pilot_sub002,1,104,208,,0,,,,,,,
105,pilot_sub002,1,105,210,B,0.0,,2,0.3000959339988185,,210.00185154798965,211.01852426800178,211.91853714299214
106,pilot_sub002,1,106,212,,0,,,,,,,
107,pilot_sub002,1,107,214,,0,,,,,,,
108,pilot_sub002,1,108,216,C,0.0,,1,0.2666768460039748,,216.00190841799485,217.01857298599498,217.91858573799254
109,pilot_sub002,1,109,218,,0,,,,,,,
110,pilot_sub002,1,110,220,A,0.0,,1,0.33332354300364386,,220.0019467499951,221.01860353699885,221.9186063429952
111,pilot_sub002,1,111,222,,0,,,,,,,
112,pilot_sub002,1,112,224,,0,,,,,,,
113,pilot_sub002,1,113,226,C,0.0,,1,0.30007737201231066,,226.0019714809896,227.01864458799537,227.91864925599657
114,pilot_sub002,1,114,228,,0,,,,,,,
115,pilot_sub002,1,115,230,B,0.0,,2,0.43334442100604065,,230.0019951199938,231.0186759139906,231.918671833002
116,pilot_sub002,1,116,232,,0,,,,,,,
117,pilot_sub002,1,117,234,,0,,,,,,,
118,pilot_sub002,1,118,236,A,0.0,,1,0.3166686740005389,,236.00205173499126,237.0187081389886,237.91873127399595
119,pilot_sub002,1,119,238,,0,,,,,,,
