,runId,trId,value,timestamp,writeTime
0,1.0,,,1602971605.5625896,1602971605.5627394
1,1.0,1.0,10.0,1602971606.5088623,1602971606.5089774
2,1.0,2.0,7.0,1602971607.4982567,1602971607.4983664
3,1.0,3.0,5.0,1602971608.297792,1602971608.2979674
4,1.0,4.0,8.0,1602971609.0978386,1602971609.09794
5,1.0,5.0,6.0,1602971610.098257,1602971610.0983634
6,1.0,6.0,8.0,1602971610.8979902,1602971610.8981023
7,1.0,7.0,5.0,1602971611.70732,1602971611.7074285
8,1.0,8.0,1.0,1602971612.5031042,1602971612.5032756
9,1.0,9.0,2.0,1602971613.298744,1602971613.2988548
10,1.0,10.0,7.0,1602971614.1982045,1602971614.198315
11,1.0,11.0,1.0,1602971614.9483287,1602971614.9485419
12,1.0,12.0,3.0,1602971615.7266386,1602971615.7267482
13,1.0,13.0,3.0,1602971616.7088137,1602971616.7089288
14,1.0,14.0,10.0,1602971617.5983913,1602971617.5985017
15,1.0,15.0,6.0,1602971618.4304223,1602971618.430529
16,1.0,16.0,5.0,1602971619.3088167,1602971619.3089254
17,1.0,17.0,9.0,1602971620.1979432,1602971620.198053
18,1.0,18.0,4.0,1602971621.0148313,1602971621.0149324
19,1.0,19.0,7.0,1602971621.8983557,1602971621.898529
20,1.0,20.0,2.0,1602971622.6986964,1602971622.6988075
21,1.0,21.0,7.0,1602971623.5987504,1602971623.59886
22,1.0,22.0,7.0,1602971624.498272,1602971624.4983783
23,1.0,23.0,5.0,1602971625.4233887,1602971625.4235048
24,1.0,24.0,9.0,1602971626.417716,1602971626.417823
25,1.0,,,1602971757.351788,1602971757.351928
26,1.0,1.0,5.0,1602971760.0980413,1602971760.0982647
27,1.0,2.0,4.0,1602971762.8093648,1602971762.809491
28,1.0,3.0,5.0,1602971765.514667,1602971765.5147932
29,1.0,4.0,4.0,1602971768.396565,1602971768.3966901
30,1.0,5.0,5.0,1602971771.0977268,1602971771.0978553
31,1.0,6.0,7.0,1602971773.8104694,1602971773.8105953
32,1.0,7.0,9.0,1602971776.5175328,1602971776.517662
33,1.0,8.0,9.0,1602971779.198736,1602971779.1988633
34,1.0,9.0,1.0,1602971781.8982043,1602971781.8983355
35,1.0,10.0,6.0,1602971784.598003,1602971784.5984643
36,1.0,11.0,6.0,1602971787.2982664,1602971787.2987394
37,1.0,12.0,7.0,1602971789.9977827,1602971789.9982545
38,1.0,13.0,5.0,1602971792.7983587,1602971792.7987905
39,1.0,,,1602971828.0592916,1602971828.0594797
40,1.0,1.0,1.0,1602971830.8013291,1602971830.8015103
41,1.0,2.0,2.0,1602971833.5085692,1602971833.5087447
42,1.0,3.0,2.0,1602971836.1980796,1602971836.198271
43,1.0,4.0,4.0,1602971838.8997872,1602971838.899977
44,1.0,5.0,2.0,1602971841.5976865,1602971841.5978053
45,1.0,6.0,9.0,1602971844.2977316,1602971844.2978468
46,1.0,7.0,6.0,1602971847.109321,1602971847.109449
47,1.0,8.0,5.0,1602971849.798044,1602971849.798193
48,1.0,9.0,10.0,1602971852.4993038,1602971852.4994352
49,1.0,10.0,2.0,1602971855.1162245,1602971855.1163542
50,1.0,11.0,4.0,1602971857.8166816,1602971857.8168066
51,1.0,12.0,2.0,1602971860.4980824,1602971860.498209
52,1.0,13.0,10.0,1602971863.19817,1602971863.1984086
53,1.0,14.0,7.0,1602971865.8982832,1602971865.8987184
54,1.0,,,1602972025.0314531,1602972025.031588
55,1.0,1.0,5.0,1602972027.7978673,1602972027.7979891
56,1.0,2.0,9.0,1602972030.4978127,1602972030.4979286
57,1.0,3.0,9.0,1602972033.1980247,1602972033.198189
58,1.0,4.0,7.0,1602972035.8978539,1602972035.8980062
59,1.0,5.0,5.0,1602972038.598221,1602972038.598369
60,1.0,6.0,7.0,1602972041.2979486,1602972041.2980475
61,1.0,7.0,2.0,1602972044.1000216,1602972044.1001692
62,1.0,8.0,10.0,1602972046.8103337,1602972046.810431
63,1.0,9.0,9.0,1602972049.51827,1602972049.5183678
64,1.0,10.0,10.0,1602972052.1981704,1602972052.1983156
65,1.0,11.0,6.0,1602972054.898024,1602972054.898179
66,1.0,12.0,6.0,1602972057.5983038,1602972057.5984552
67,1.0,13.0,9.0,1602972060.2982328,1602972060.2983842
