,Sub,Run,TR,Onset,Item,Change,CorrResp,Resp,RT,Acc,image_on,button_on,button_off
0,sub001,7,0,0,,0,,,,,,,
1,sub001,7,1,2,,0,,,,,,,
2,sub001,7,2,4,,0,,,,,,,
3,sub001,7,3,6,A,0.0,,1,0.33334764605388045,,6.012190673034638,7.02883722493425,7.92885533394292
4,sub001,7,4,8,,0,,,,,,,
5,sub001,7,5,10,,0,,,,,,,
6,sub001,7,6,12,,0,,,,,,,
7,sub001,7,7,14,B,0.0,,2,0.35003929398953915,,14.012307960074395,15.028985012322664,15.928965255152434
8,sub001,7,8,16,,0,,,,,,,
9,sub001,7,9,18,D,0.0,,2,0.6999871740117669,,18.012382502201945,19.029033527243882,19.92901139613241
10,sub001,7,10,20,,0,,,,,,,
11,sub001,7,11,22,A,0.0,,1,0.28335745306685567,,22.012410583905876,23.02908228803426,23.929046442266554
12,sub001,7,12,24,,0,,,,,,,
13,sub001,7,13,26,,0,,,,,,,
14,sub001,7,14,28,D,0.0,,2,0.3166716299019754,,28.012415189296007,29.029093112330884,29.92910526925698
15,sub001,7,15,30,,0,,,,,,,
16,sub001,7,16,32,,0,,,,,,,
17,sub001,7,17,34,B,0.0,,2,0.36662900587543845,,34.0125269102864,35.029151297174394,35.929145995061845
18,sub001,7,18,36,,0,,,,,,,
19,sub001,7,19,38,A,0.0,,1,0.4333397620357573,,38.01250742608681,39.062521080020815,39.96256605302915
20,sub001,7,20,40,,0,,,,,,,
21,sub001,7,21,42,,0,,,,,,,
22,sub001,7,22,44,C,0.0,,1,0.6166427829302847,,44.01259668217972,45.029270431026816,45.92924154503271
23,sub001,7,23,46,,0,,,,,,,
24,sub001,7,24,48,,0,,,,,,,
25,sub001,7,25,50,D,0.0,,2,0.4167338437400758,,50.01262386422604,51.02928904304281,51.92927807895467
26,sub001,7,26,52,,0,,,,,,,
27,sub001,7,27,54,C,0.0,,1,0.5666635441593826,,54.01265194499865,55.029319300316274,55.929335799999535
28,sub001,7,28,56,,0,,,,,,,
29,sub001,7,29,58,,0,,,,,,,
30,sub001,7,30,60,,0,,,,,,,
31,sub001,7,31,62,B,0.0,,2,0.2666595820337534,,62.0127203729935,63.029380849096924,63.929393174126744
32,sub001,7,32,64,,0,,,,,,,
33,sub001,7,33,66,,0,,,,,,,
34,sub001,7,34,68,,0,,,,,,,
35,sub001,7,35,70,C,0.0,,1,0.29997307574376464,,70.01283253915608,71.02943140733987,71.92945365095511
36,sub001,7,36,72,,0,,,,,,,
37,sub001,7,37,74,B,0.0,,2,0.6333273942582309,,74.01282607996836,75.02949721831828,75.92952823406085
38,sub001,7,38,76,,0,,,,,,,
39,sub001,7,39,78,A,0.0,,1,0.3166812411509454,,78.01285263290629,79.02950294828042,79.92953655915335
40,sub001,7,40,80,,0,,,,,,,
41,sub001,7,41,82,C,0.0,,1,0.34999765921384096,,82.01288379402831,83.02955396194011,83.92953378800303
42,sub001,7,42,84,,0,,,,,,,
43,sub001,7,43,86,,0,,,,,,,
44,sub001,7,44,88,D,0.0,,2,0.39999148109927773,,88.01291185291484,89.0295743541792,89.92957623722032
45,sub001,7,45,90,,0,,,,,,,
46,sub001,7,46,92,,0,,,,,,,
47,sub001,7,47,94,B,0.0,,2,0.29996934020891786,,94.0129988770932,95.02964689629152,95.92961376905441
48,sub001,7,48,96,,0,,,,,,,
49,sub001,7,49,98,,0,,,,,,,
50,sub001,7,50,100,D,0.0,,2,0.300007666926831,,100.01302226027474,101.0296715409495,101.92968542408198
51,sub001,7,51,102,,0,,,,,,,
52,sub001,7,52,104,,0,,,,,,,
53,sub001,7,53,106,C,0.0,,1,0.3500316352583468,,106.01305259205401,107.02973915822804,107.92973530013114
54,sub001,7,54,108,,0,,,,,,,
55,sub001,7,55,110,B,0.0,,2,0.3166945748962462,,110.01311235129833,111.02978984592482,111.92977422801778
56,sub001,7,56,112,,0,,,,,,,
57,sub001,7,57,114,,0,,,,,,,
58,sub001,7,58,116,,0,,,,,,,
59,sub001,7,59,118,A,0.0,,1,0.28334839176386595,,118.01317801419646,119.02989946817979,119.92982797930017
60,sub001,7,60,120,,0,,,,,,,
61,sub001,7,61,122,,0,,,,,,,
62,sub001,7,62,124,D,0.0,,2,0.25000798096880317,,124.0132014900446,125.02987624891102,125.92989255534485
63,sub001,7,63,126,,0,,,,,,,
64,sub001,7,64,128,,0,,,,,,,
65,sub001,7,65,130,C,0.0,,1,0.11671488313004375,,130.0132584539242,131.02994850929826,131.92996056890115
66,sub001,7,66,132,,0,,,,,,,
67,sub001,7,67,134,A,0.0,,1,0.5499909841455519,,134.0132945580408,135.0299795260653,135.92995765712112
68,sub001,7,68,136,,0,,,,,,,
69,sub001,7,69,138,C,0.0,,1,0.46667146077379584,,182.01369825424626,183.0303948163055,183.93035550322384
70,sub001,7,70,140,,0,,,,,,,
71,sub001,7,71,142,A,0.0,,1,0.5166762098670006,,186.0137310512364,187.03039584634826,187.93041763594374
72,sub001,7,72,144,,0,,,,,,,
73,sub001,7,73,146,B,0.0,,2,0.4666537018492818,,190.01377235213295,191.03045566705987,191.9304510052316
