,TR,parameter,states,points
0,9,8,feedback,0
1,10,19,feedback,1
2,11,19,feedback,1
3,12,19,feedback,1
4,13,19,feedback,1
5,23,19,feedback,1
6,24,18,feedback,1
7,25,19,feedback,2
8,26,19,feedback,2
9,27,19,feedback,2
10,37,19,feedback,2
11,38,18,feedback,2
12,39,19,feedback,3
13,40,19,feedback,3
14,41,15,feedback,3
15,51,19,feedback,4
16,52,9,feedback,4
17,53,19,feedback,5
18,54,19,feedback,5
19,55,19,feedback,5
20,65,19,feedback,5
21,66,19,feedback,5
22,67,19,feedback,5
23,68,19,feedback,5
24,69,6,feedback,5
25,79,19,feedback,6
26,80,19,feedback,6
27,81,19,feedback,6
28,82,19,feedback,6
29,83,19,feedback,6
30,93,19,feedback,6
31,94,19,feedback,6
32,95,18,feedback,6
33,96,19,feedback,7
34,97,19,feedback,7
35,107,1,feedback,7
36,108,19,feedback,8
37,109,19,feedback,8
38,110,19,feedback,8
39,111,19,feedback,8
40,121,19,feedback,8
41,122,19,feedback,8
42,123,19,feedback,8
43,124,19,feedback,8
44,125,19,feedback,8
45,135,19,feedback,8
46,136,19,feedback,8
47,137,19,feedback,8
48,138,19,feedback,8
49,139,19,feedback,8
50,149,19,feedback,8
51,150,19,feedback,8
52,151,19,feedback,8
53,152,17,feedback,8
54,153,19,feedback,9
55,163,19,feedback,9
56,164,19,feedback,9
57,165,2,feedback,9
58,166,19,feedback,10
59,167,19,feedback,10
60,177,19,feedback,10
61,178,19,feedback,10
62,179,18,feedback,10
