sub,session,run,threshold,successful_trials,perfect_trials,monetaryReward1,monetaryReward5,monetaryReward9,monetaryReward13,monetaryReward10cent,monetaryReward5cent,monetaryReward0cents
sub002,2,1,0.6,12.0,6.0,,,,,,,
sub002,2,2,0.6,12.0,8.0,,,,,,,
sub002,2,3,0.6,12.0,3.0,,,,,,,
sub002,2,4,0.6,10.0,3.0,,,,,,,
sub002,2,5,0.6,11.0,8.0,,,,,,,
sub002,2,6,0.6,12.0,6.0,,,,,,,
sub002,2,7,0.6,8.0,3.0,1080.0,721.0,720.0,1440.0,,,
sub002,2,8,0.6,6.0,1.0,360.0,360.0,1081.0,2160.0,,,
sub002,2,9,0.6,11.0,3.0,721.0,1080.0,1800.0,360.0,,,
sub002,2,10,0.6,10.0,5.0,1799.0,360.0,1440.0,361.0,,,
sub002,3,1,0.6,10.0,3.0,3.0,3.0,4.0,3.0,,,
sub002,3,2,0.6,10.0,5.0,5.0,2.0,3.0,3.0,,,
sub002,3,3,0.6,11.0,3.0,3.0,5.0,3.0,2.0,,,
sub002,3,4,0.6,10.0,3.0,3.0,2.0,5.0,3.0,,,
sub002,3,5,0.6,4.0,0.0,0.0,0.0,4.0,9.0,,,
sub002,3,6,0.6,6.0,1.0,1.0,0.0,5.0,7.0,,,
sub002,3,7,0.6,10.0,4.0,4.0,2.0,4.0,3.0,,,
sub002,3,8,0.6,11.0,7.0,7.0,3.0,1.0,2.0,,,
sub002,3,9,0.6,9.0,2.0,2.0,3.0,4.0,4.0,,,
sub002,3,10,0.6,6.0,0.0,0.0,3.0,3.0,7.0,,,
sub002,3,11,0.6,4.0,1.0,1.0,2.0,1.0,9.0,,,
sub002,3,12,0.6,10.0,5.0,5.0,1.0,4.0,3.0,,,
sub002,4,1,0.6,9.0,3.0,3.0,2.0,4.0,4.0,,,
sub002,4,2,0.6,9.0,1.0,1.0,4.0,4.0,4.0,,,
sub002,4,3,0.6,9.0,3.0,3.0,3.0,3.0,4.0,,,
sub002,4,4,0.6,4.0,1.0,1.0,1.0,2.0,9.0,,,
sub002,4,5,0.6,6.0,1.0,1.0,1.0,4.0,7.0,,,
sub002,4,6,0.6,6.0,1.0,1.0,2.0,3.0,7.0,,,
sub002,4,7,0.6,4.0,0.0,0.0,0.0,4.0,9.0,,,
sub002,4,8,0.6,6.0,0.0,0.0,1.0,5.0,7.0,,,
sub002,4,9,0.6,7.0,1.0,1.0,1.0,5.0,6.0,,,
sub002,4,10,0.6,4.0,1.0,,,,,1.0,3.0,10.0
sub002,5,1,0.6,3.0,1.0,,,,,1.0,2.0,12.0
sub002,5,2,0.6,5.0,0.0,,,,,0.0,5.0,12.0
sub002,5,3,0.6,9.0,7.0,,,,,7.0,2.0,5.0
sub002,5,4,0.6,6.0,1.0,,,,,1.0,5.0,11.0
sub002,5,5,0.6,10.0,4.0,,,,,4.0,6.0,6.0
sub002,5,6,0.6,6.0,5.0,,,,,5.0,1.0,8.0
sub002,5,7,0.6,3.0,1.0,,,,,1.0,2.0,10.0
sub002,5,8,0.6,5.0,3.0,,,,,3.0,2.0,9.0
sub002,5,9,0.6,8.0,1.0,,,,,1.0,7.0,9.0
sub002,5,10,0.6,6.0,3.0,,,,,3.0,3.0,9.0
