TR,morphParam,states,points
9,13,feedback,0
10,13,feedback,0
11,13,feedback,0
12,13,feedback,0
13,13,feedback,0
23,9,feedback,0
24,5,feedback,0
25,5,feedback,0
26,5,feedback,0
27,5,feedback,0
37,9,feedback,0
38,5,feedback,0
39,5,feedback,0
40,1,feedback,0
41,1,feedback,0
51,9,feedback,0
52,5,feedback,0
53,1,feedback,0
54,1,feedback,0
55,1,feedback,0
65,13,feedback,0
66,13,feedback,0
67,9,feedback,0
68,9,feedback,0
69,9,feedback,0
79,13,feedback,0
80,9,feedback,0
81,5,feedback,0
82,1,feedback,0
83,1,feedback,0
93,9,feedback,0
94,9,feedback,0
95,5,feedback,0
96,1,feedback,0
97,1,feedback,0
107,9,feedback,0
108,9,feedback,0
109,9,feedback,0
110,9,feedback,0
111,9,feedback,0
121,9,feedback,0
122,9,feedback,0
123,9,feedback,0
124,5,feedback,0
125,1,feedback,0
135,9,feedback,0
136,9,feedback,0
137,5,feedback,0
138,1,feedback,0
139,1,feedback,0
149,9,feedback,0
150,5,feedback,0
151,1,feedback,0
152,1,feedback,0
153,1,feedback,0
163,9,feedback,0
164,5,feedback,0
165,1,feedback,0
166,1,feedback,0
167,1,feedback,0
