TR,morphParam,states,points,B_prob,TR_milgram,timestamp
9,13,feedback,0,0.5100087607032389,1.0,1620997497.1765227
10,13,feedback,0,0.039392561857328284,2.0,1620997498.7588532
11,13,feedback,0,0.0037038243495407857,3.0,1620997501.3986046
12,13,feedback,0,0.5183345786032634,4.0,1620997503.0557225
13,13,feedback,0,0.8497003595097212,5.0,1620997505.7676938
23,13,feedback,0,0.8751895987147005,6.0,1620997507.3986037
24,13,feedback,0,0.5008280683462519,7.0,1620997509.0547805
25,9,feedback,0,0.9785674992749542,8.0,1620997511.760049
26,9,feedback,0,0.8698494087910431,9.0,1620997513.3952053
27,5,feedback,0,0.9991582911474568,10.0,1620997515.057714
37,9,feedback,0,0.9928792419866892,11.0,1620997517.6548805
38,9,feedback,0,0.28805904804943006,12.0,1620997519.2710454
39,5,feedback,0,0.9359749829173025,13.0,1620997520.9008374
40,1,feedback,0,0.9665192208518377,14.0,1620997523.5241075
41,1,feedback,0,0.9841334643823739,15.0,1620997525.2016315
51,13,feedback,0,0.7034372464146108,16.0,1620997526.782392
52,13,feedback,0,0.34227595536556704,17.0,1620997529.535566
53,13,feedback,0,0.45155999471742747,18.0,1620997531.2081518
54,13,feedback,0,0.5330719058472534,19.0,1620997532.8241608
55,9,feedback,0,0.9021793879843352,20.0,1620997535.4619935
65,13,feedback,0,0.4807421283593765,21.0,1620997537.0420048
66,13,feedback,0,0.15294253332452565,22.0,1620997539.7401223
67,13,feedback,0,0.06970170407214565,23.0,1620997541.4056213
68,13,feedback,0,0.03499046222380252,24.0,1620997542.9937024
69,13,feedback,0,0.4562139737284782,25.0,1620997545.6392035
79,13,feedback,0,0.5272795287116853,26.0,1620997547.3012152
80,13,feedback,0,0.7151939336070018,27.0,1620997548.9653654
81,13,feedback,0,0.42343961634841326,28.0,1620997551.7232058
82,13,feedback,0,0.3086873231808433,29.0,1620997553.4223764
83,13,feedback,0,0.34740369965431056,30.0,1620997555.098486
93,9,feedback,0,0.9671289349715393,31.0,1620997557.6833887
94,9,feedback,0,0.12653072726809492,32.0,1620997559.3656828
95,9,feedback,0,0.8127740684078493,33.0,1620997561.0723767
96,9,feedback,0,0.2503729366934552,34.0,1620997563.6681888
97,9,feedback,0,0.29083182747088193,35.0,1620997565.2688935
107,9,feedback,0,0.9941001360099886,36.0,1620997566.963206
108,9,feedback,0,0.8365365393733847,37.0,1620997569.5990274
109,9,feedback,0,0.5344159607076556,38.0,1620997571.2288916
110,9,feedback,0,0.00395533190983819,39.0,1620997572.8553174
111,9,feedback,0,0.5274361236785179,40.0,1620997575.456388
121,9,feedback,0,0.9548224763515412,41.0,1620997577.1232526
122,9,feedback,0,0.32186573935983526,42.0,1620997579.773116
123,9,feedback,0,0.8703009416224952,43.0,1620997581.4541333
124,9,feedback,0,0.2957356793258792,44.0,1620997583.123545
125,9,feedback,0,0.653217870646606,45.0,1620997585.732279
135,13,feedback,0,0.017604720791223827,46.0,1620997587.4232948
136,13,feedback,0,0.6054748624780923,47.0,1620997589.1064198
137,13,feedback,0,0.8686469493579432,48.0,1620997591.7159224
138,13,feedback,0,0.6496885468125683,49.0,1620997593.2934139
139,13,feedback,0,0.05030920992234296,50.0,1620997594.9326165
149,13,feedback,0,0.026135827225175788,51.0,1620997597.6417928
150,13,feedback,0,0.7947291339123309,52.0,1620997599.32386
151,13,feedback,0,0.8060323829031495,53.0,1620997600.8920662
152,13,feedback,0,0.40654070869201,54.0,1620997603.5588317
153,13,feedback,0,0.4833733133280001,55.0,1620997605.214577
163,13,feedback,0,0.24323114973347268,56.0,1620997606.8882248
164,13,feedback,0,0.6244974702934398,57.0,1620997609.5631003
165,13,feedback,0,0.4179392996918768,58.0,1620997611.1378608
166,13,feedback,0,0.8204252252728392,59.0,1620997612.8944256
167,13,feedback,0,0.28569711440433376,60.0,1620997615.4781654
