,Sub,Run,TR,Onset,Item,Change,CorrResp,Resp,RT,Acc,image_on,button_on,button_off
0,sub003,3,3,0,,0,,,,,,,
1,sub003,3,4,2,,0,,,,,,,
2,sub003,3,5,4,,0,,,,,,,
3,sub003,3,6,6,C,0.0,,1,0.5825026459933724,,12.008129680994898,13.024804738000967,13.923968440998578
4,sub003,3,7,8,,0,,,,,,,
5,sub003,3,8,10,D,0.0,,2,0.3396968570013996,,16.017641358979745,17.024066584999673,17.92400537300273
6,sub003,3,9,12,,0,,,,,,,
7,sub003,3,10,14,,0,,,,,,,
8,sub003,3,11,16,B,0.0,,2,0.3491708959918469,,22.008224471996073,23.024884148995625,23.924067683983594
9,sub003,3,12,18,,0,,,,,,,
10,sub003,3,13,20,A,0.0,,1,0.3165979960176628,,26.007497405982576,27.02492219497799,27.924101356999017
11,sub003,3,14,22,,0,,,,,,,
12,sub003,3,15,24,B,0.0,,2,0.2992827349808067,,30.008185587998014,31.024971450999146,31.92414311898756
13,sub003,3,16,26,,0,,,,,,,
14,sub003,3,17,28,,0,,,,,,,
15,sub003,3,18,30,D,0.0,,2,0.29927962701185606,,36.008244770986494,37.024268011999084,37.92420794299687
16,sub003,3,19,32,,0,,,,,,,
17,sub003,3,20,34,C,0.0,,1,0.5165940189908724,,40.007640719995834,41.02505676000146,41.92423688300187
18,sub003,3,21,36,,0,,,,,,,
19,sub003,3,22,38,,0,,,,,,,
20,sub003,3,23,40,A,0.0,,1,0.2832659299892839,,46.007690472994,47.0251203099906,47.92430130499997
21,sub003,3,24,42,,0,,,,,,,
22,sub003,3,25,44,,0,,,,,,,
23,sub003,3,26,46,C,0.0,,1,0.28251184098189697,,52.008499677001964,53.025179043994285,53.92435764498077
24,sub003,3,27,48,,0,,,,,,,
25,sub003,3,28,50,,0,,,,,,,
26,sub003,3,29,52,A,0.0,,1,0.09926995501155034,,58.0084548649902,59.01541766899754,59.92440379099571
27,sub003,3,30,54,,0,,,,,,,
28,sub003,3,31,56,,0,,,,,,,
29,sub003,3,32,58,D,0.0,,2,0.31659501101239584,,64.007854475989,65.0252864289796,65.92446708798525
30,sub003,3,33,60,,0,,,,,,,
31,sub003,3,34,62,B,0.0,,2,0.23250431401538663,,68.00865600098041,69.02531974599697,69.92450503399596
32,sub003,3,35,64,,0,,,,,,,
33,sub003,3,36,66,D,0.0,,2,0.24917698701028712,,72.00869517298997,73.02536882899585,73.92454027099302
34,sub003,3,37,68,,0,,,,,,,
35,sub003,3,38,70,,0,,,,,,,
36,sub003,3,39,72,A,0.0,,1,0.3658306950237602,,78.0087549869786,79.02542324000387,79.92459851998137
37,sub003,3,40,74,,0,,,,,,,
38,sub003,3,41,76,,0,,,,,,,
39,sub003,3,42,78,B,0.0,,2,0.33259698600159027,,84.00871223199647,85.02547519200016,85.92465517899836
40,sub003,3,43,80,,0,,,,,,,
41,sub003,3,44,82,C,0.0,,1,0.43250955699477345,,88.00883539600181,89.02551575700636,89.92468709900277
42,sub003,3,45,84,,0,,,,,,,
43,sub003,3,46,86,,0,,,,,,,
44,sub003,3,47,88,,0,,,,,,,
45,sub003,3,48,90,A,0.0,,1,0.2991671929776203,,96.00893137100502,97.02559087798,97.92476812499808
46,sub003,3,49,92,,0,,,,,,,
47,sub003,3,50,94,B,0.0,,2,0.28250075899995863,,100.00896218899288,101.02562838298036,101.92480723399785
48,sub003,3,51,96,,0,,,,,,,
49,sub003,3,52,98,,0,,,,,,,
50,sub003,3,53,100,A,0.0,,1,0.4491798109957017,,106.0090076859924,107.02567902600276,107.92486004298553
51,sub003,3,54,102,,0,,,,,,,
52,sub003,3,55,104,,0,,,,,,,
53,sub003,3,56,106,,0,,,,,,,
54,sub003,3,57,108,C,0.0,,1,0.2832688080088701,,114.00832397598424,115.02576207299717,115.92493479099358
55,sub003,3,58,110,,0,,,,,,,
56,sub003,3,59,112,D,0.0,,2,0.2825105939991772,,118.00911878599436,119.02579075298854,119.92497014100081
57,sub003,3,60,114,,0,,,,,,,
58,sub003,3,61,116,B,0.0,,2,0.29993417000514455,,122.0084014259919,123.0250761929783,123.925005631987
59,sub003,3,62,118,,0,,,,,,,
60,sub003,3,63,120,,0,,,,,,,
61,sub003,3,64,122,D,0.0,,2,0.3499331139901187,,128.00845932000084,129.02588968299096,129.92507314798422
62,sub003,3,65,124,,0,,,,,,,
63,sub003,3,66,126,,0,,,,,,,
64,sub003,3,67,128,C,0.0,,1,0.3658533520065248,,134.00926972998423,135.02595585599192,135.9251232809911
65,sub003,3,68,130,,0,,,,,,,
66,sub003,3,69,132,D,0.0,,2,0.24917646998073906,,138.00931809699978,139.02598272199975,139.92516717300168
67,sub003,3,70,134,,0,,,,,,,
68,sub003,3,71,136,,0,,,,,,,
69,sub003,3,72,138,B,0.0,,2,0.41584819098352455,,144.009368953004,145.0260347489966,145.92522407899378
70,sub003,3,73,140,,0,,,,,,,
71,sub003,3,74,142,,0,,,,,,,
72,sub003,3,75,144,A,0.0,,1,0.2158450620190706,,150.00943243998336,151.0261165399861,151.9252769720042
73,sub003,3,76,146,,0,,,,,,,
74,sub003,3,77,148,,0,,,,,,,
75,sub003,3,78,150,,0,,,,,,,
76,sub003,3,79,152,D,0.0,,2,0.3158449660113547,,158.00950749698677,159.02618812498986,159.9253554919851
77,sub003,3,80,154,,0,,,,,,,
78,sub003,3,81,156,,0,,,,,,,
79,sub003,3,82,158,A,0.0,,1,0.36586246101069264,,164.00955733799492,165.02623813599348,165.92542133497773
80,sub003,3,83,160,,0,,,,,,,
81,sub003,3,84,162,C,0.0,,1,0.31583166800555773,,168.00961850598105,169.02628089798964,169.92544944299152
