,Sub,Run,TR,Onset,Item,Change,CorrResp,Resp,RT,Acc,image_on,button_on,button_off,Trial_ID
0,sub003,7,3,0,,0,,,,,,,,
1,sub003,7,4,2,,0,,,,,,,,
2,sub003,7,5,4,,0,,,,,,,,
3,sub003,7,6,6,C,0.0,,1,0.3833563610000965,,12.006061022999802,13.02280648199985,13.922747035000157,0
4,sub003,7,7,8,,0,,,,,,,,
5,sub003,7,8,10,A,0.0,,1,0.33335977999968236,,16.006111392000093,17.022877194000102,17.9228110439999,1
6,sub003,7,9,12,,0,,,,,,,,
7,sub003,7,10,14,,0,,,,,,,,
8,sub003,7,11,16,B,0.0,,2,0.3833393220002108,,22.006346844999825,23.023099299000023,23.923012265000125,2
9,sub003,7,12,18,,0,,,,,,,,
10,sub003,7,13,20,C,0.0,,1,0.18333835500015994,,26.00637460600001,27.023156284999914,27.92306275100009,3
11,sub003,7,14,22,,0,,,,,,,,
12,sub003,7,15,24,A,0.0,,1,0.25000870699977895,,30.0064237900001,31.02318364599978,31.923105099000168,4
13,sub003,7,16,26,,0,,,,,,,,
14,sub003,7,17,28,,0,,,,,,,,
15,sub003,7,18,30,,0,,,,,,,,
16,sub003,7,19,32,C,0.0,,1,0.38335608399984267,,38.00649900899998,39.0232794399999,39.923186279999754,5
17,sub003,7,20,34,,0,,,,,,,,
18,sub003,7,21,36,,0,,,,,,,,
19,sub003,7,22,38,D,0.0,,2,0.3666975919995821,,44.00657063000017,45.02335145899997,45.92325005299972,6
20,sub003,7,23,40,,0,,,,,,,,
21,sub003,7,24,42,A,0.0,,1,0.2833329160002904,,48.00662247399987,49.02336965299992,49.92330133899986,7
22,sub003,7,25,44,,0,,,,,,,,
23,sub003,7,26,46,,0,,,,,,,,
24,sub003,7,27,48,D,0.0,,2,0.30002025400017374,,54.00667296099982,55.023446652000075,55.92335828299974,8
25,sub003,7,28,50,,0,,,,,,,,
26,sub003,7,29,52,,0,,,,,,,,
27,sub003,7,30,54,B,0.0,,2,0.3500218969998059,,60.00673266500007,61.02350659600006,61.92343343799985,9
28,sub003,7,31,56,,0,,,,,,,,
29,sub003,7,32,58,D,0.0,,2,0.3166931629998544,,64.00679294400015,65.02358360500011,65.92346496099981,10
30,sub003,7,33,60,,0,,,,,,,,
31,sub003,7,34,62,,0,,,,,,,,
32,sub003,7,35,64,B,0.0,,2,0.350012696000249,,70.00686070799975,71.02361031100008,71.92355229399982,11
33,sub003,7,36,66,,0,,,,,,,,
